location,Latitude,Longitude
"New Dorp/Midland Beach, Staten Island",40.57284164,-74.0952301
"North Corona, Queens",40.75305939,-73.8611908
"Norwood, Bronx",40.87868881,-73.87928772
"Oakland Gardens, Queens",40.73949051,-73.75431824
"Oakwood, Staten Island",40.56389999,-74.11637115
"Ocean Hill, Brooklyn",40.60215,-74.11486
"Ocean Parkway South, Brooklyn",40.6036,-73.966845
"Old Astoria, Queens",40.7639122,-73.92502594
"Ozone Park, Queens",40.68011856,-73.8473587
"Park Slope, Brooklyn",40.67072678,-73.98057556
"Parkchester, Bronx",40.8391304,-73.86109161
"Pelham Bay, Bronx",40.85055542,-73.83333588
"Pelham Bay Park, Bronx",40.86334991,-73.80197144
"Pelham Parkway, Bronx",40.85443115,-73.86434174
"Penn Station/Madison Sq West, Manhattan",40.75059891,-73.99359894
"Port Richmond, Staten Island",40.63362885,-74.12893677
"Prospect-Lefferts Gardens, Brooklyn",40.65061188,-73.95387268
"Prospect Heights, Brooklyn",40.67747116,-73.96582794
"Prospect Park, Brooklyn",40.66046906,-73.96278381
"Queens Village, Queens",40.71562576,-73.74134827
"Queensboro Hill, Queens",40.74291992,-73.82061005
"Queensbridge/Ravenswood, Queens",40.75519562,-73.94533539
"Randalls Island, Manhattan",40.79529685,-73.92130808
"Red Hook, Brooklyn",40.67501831,-74.01023102
"Rego Park, Queens",40.72547531,-73.86136627
"Richmond Hill, Queens",40.69345093,-73.830513
"Ridgewood, Queens",40.70885086,-73.90023804
"Rikers Island, Bronx",40.79115677,-73.88263702
"Riverdale/North Riverdale/Fieldston, Bronx",40.89561081,-73.90084839
"Rockaway Park, Queens",40.57856369,-73.84096527
"Roosevelt Island, Manhattan",40.7645607,-73.94731903
"Rosedale, Queens",40.65940094,-73.74004364
"Rossville/Woodrow, Staten Island",40.54315948,-74.19760895
"Saint Albans, Queens",40.69329071,-73.75644684
"Saint George/New Brighton, Staten Island",40.64207077,-74.0933609
"Saint Michaels Cemetery/Woodside, Queens",40.74676132,-73.90289307
"Schuylerville/Edgewater Park, Bronx",40.82242966,-73.8102417
"Seaport, Manhattan",40.707144,-74.00452725
"Sheepshead Bay, Brooklyn",40.59012985,-73.94477081
"SoHo, Manhattan",40.72520065,-74.00415039
"Soundview/Bruckner, Bronx",40.82291031,-73.86827087
"Soundview/Castle Hill, Bronx",40.81983,-73.84822
"South Beach/Dongan Hills, Staten Island",40.58834076,-74.09648895
"South Jamaica, Queens",40.68093872,-73.79089355
"South Ozone Park, Queens",40.67544937,-73.81114197
"South Williamsburg, Brooklyn",40.71406937,-73.95362854
"Springfield Gardens North, Queens",40.68342433,-73.75112152
"Springfield Gardens South, Queens",40.6756989,-73.75112152
"Spuyten Duyvil/Kingsbridge, Bronx",40.88312149,-73.9033432
"Stapleton, Staten Island",40.62659073,-74.07637024
"Starrett City, Brooklyn",40.65014,-73.88444004
"Steinway, Queens",40.77376175,-73.90493774
"Stuy Town/Peter Cooper Village, Manhattan",40.73244095,-73.97770691
"Stuyvesant Heights, Brooklyn",40.68197922,-73.93184585
"Sunnyside, Queens",40.74243927,-73.92073822
"Sunset Park East, Brooklyn",40.64558029,-73.99456787
"Sunset Park West, Brooklyn",40.64558029,-74.03375244
"Sutton Place/Turtle Bay North, Manhattan",40.75835001,-73.95995003
"Times Sq/Theatre District, Manhattan",40.75888062,-73.9848175
"TriBeCa/Civic Center, Manhattan",40.71337128,-74.00379944
"Two Bridges/Seward Park, Manhattan",40.71416092,-73.98912048
"UN/Turtle Bay South, Manhattan",40.7592392,-73.96502686
"Union Sq, Manhattan",40.75267,-73.97652
"University Heights/Morris Heights, Bronx",40.85182953,-73.91625977
"Upper East Side North, Manhattan",40.78791046,-73.95716858
"Upper East Side South, Manhattan",40.75822067,-73.95716858
"Upper West Side North, Manhattan",40.80612183,-73.97319794
"Upper West Side South, Manhattan",40.77621078,-73.97319794
"Van Cortlandt Park, Bronx",40.8955307,-73.89665985
"Van Cortlandt Village, Bronx",40.88375092,-73.89414215
"Van Nest/Morris Park, Bronx",40.85284042,-73.85452271
"Washington Heights North, Manhattan",40.85546112,-73.93379211
"Washington Heights South, Manhattan",40.84231186,-73.9392395
"West Brighton, Staten Island",40.62744141,-74.10909271
"West Chelsea/Hudson Yards, Manhattan",40.75466156,-74.00378418
"West Concourse, Bronx",40.82762909,-73.92533112
"West Farms/Bronx River, Bronx",40.83975983,-73.87792969
"West Village, Manhattan",40.73497009,-74.00482941
"Westchester Village/Unionport, Bronx",40.82748032,-73.85070801
"Westerleigh, Staten Island",40.62102127,-74.13204956
"Whitestone, Queens",40.78841019,-73.81363678
"Willets Point, Queens",40.75844574,-73.84188843
"Williamsbridge/Olinville, Bronx",40.87783051,-73.86817169
"Williamsburg (North Side), Brooklyn",40.72510529,-73.95362854
"Williamsburg (South Side), Brooklyn",40.69817734,-73.95362854
"Windsor Terrace, Brooklyn",40.65396881,-73.97785187
"Woodhaven, Queens",40.69263077,-73.86102295
"Woodlawn/Wakefield, Bronx",40.8980484,-73.85328674
"Woodside, Queens",40.74676132,-73.90289307
"World Trade Center, Manhattan",40.71271133,-74.01193237
"Yorkville East, Manhattan",40.77808,-73.9385
"Yorkville West, Manhattan",40.77808,-73.9585
"NV, Unknown",40.71455002,-74.00714111
"nan, Unknown",40.71455002,-74.00714111
